행정구역별(읍면동),2018,2018,2018,2018,2018,2018,2018,2018,2018
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
면부,575168,286095,289073,252565,28497,1968,1195,2999,8752
동부,783525,396859,386666,66000,230051,6899,5191,5903,8269
목포시,231798,116258,115540,21494,63695,1486,1804,1622,3659
여수시,270947,139229,131718,38211,67380,1237,1491,2507,1672
순천시,268284,133555,134729,32392,71612,1415,1519,1783,1922
나주시,109862,54658,55204,24531,26977,479,522,433,2639
광양시,144027,74530,69497,13892,41502,2981,808,939,1044
담양군,43749,21648,22101,15569,1826,169,271,309,903
곡성군,28116,13619,14497,11599,1040,342,191,189,389
구례군,24246,11669,12577,9962,997,253,119,195,403
고흥군,60664,29495,31169,27956,3110,824,1266,462,794
보성군,39373,18873,20500,16552,2447,489,115,197,562
화순군,60040,29062,30978,15386,11941,291,55,276,809
장흥군,35875,17450,18425,14066,2284,727,157,291,606
강진군,33298,15988,17310,13845,1581,559,349,293,549
해남군,66209,32767,33442,24585,4621,449,207,542,941
영암군,57175,30312,26863,15347,9109,560,391,288,1022
무안군,81324,41131,40193,18476,12649,477,309,432,2135
함평군,30600,15180,15420,13258,889,203,104,207,595
영광군,49570,24724,24846,15774,5681,833,309,362,784
장성군,41850,20976,20874,13746,3732,483,53,253,708
완도군,48340,25092,23248,17998,1942,599,345,497,877
진도군,29366,15065,14301,12378,931,313,202,209,453
신안군,35639,18873,16766,16566,20,72,54,249,535
경상북도,2672902,1352869,1320033,458601,507230,30016,46705,17953,32859
읍부,605788,309749,296039,94521,118872,6815,12216,4192,6965
면부,645300,325343,319957,259007,41296,4904,5174,4019,13223
동부,1421814,717777,704037,105073,347062,18297,29315,9742,12671
포항시,504382,255904,248478,46949,123453,8369,11416,3936,3508
남구,236268,123019,113249,24359,50061,4364,7574,1919,1605
북구,268114,132885,135229,22590,73392,4005,3842,2017,1903
경주시,264282,134464,129818,45806,49200,3558,6138,1882,4546
김천시,139894,69916,69978,26458,27777,1283,1012,925,2309
안동시,162186,80331,81855,31451,32242,1454,1313,1283,1721
구미시,422195,218189,204006,25487,103906,3703,9173,1723,3645
영주시,107034,53582,53452,21178,16933,1643,1430,1159,1303
영천시,98686,50648,48038,23223,17907,892,1145,628,1937
상주시,97558,48056,49502,29452,11297,388,1216,729,1410
문경시,68895,33777,35118,19564,7112,1271,1405,738,976
경산시,284517,143489,141028,22890,64747,947,3243,963,2833
군위군,22277,11417,10860,9669,612,162,328,165,530
의성군,49621,24008,25613,22730,2173,313,617,397,659
청송군,24160,11985,12175,9951,1474,165,563,275,431
영양군,16559,7992,8567,7158,342,146,457,106,206
영덕군,36096,17444,18652,14724,1499,856,725,440,549
청도군,40878,19745,21133,18124,2142,351,646,273,710
고령군,32660,17092,15568,8991,3867,183,482,216,889
성주군,41299,21388,19911,14591,1360,295,345,328,1155
칠곡군,120983,63530,57453,14294,23677,619,2827,696,1666
예천군,51082,25000,26082,16476,8406,377,603,284,504
봉화군,30872,15297,15575,12275,1601,807,403,190,414
울진군,48057,24778,23279,14776,5393,2034,1095,438,646
울릉군,8729,4837,3892,2384,110,200,123,179,312
경상남도,3350350,1703904,1646446,419628,726589,26507,37097,16887,43041
읍부,506847,255243,251604,56758,121003,5051,5810,2749,5241
면부,694866,354256,340610,227800,77111,3864,4069,4453,12575
동부,2148637,1094405,1054232,135070,528475,17592,27218,9685,25225
진주시,352333,176228,176105,41565,71581,1172,2240,2301,3039
통영시,131407,67572,63835,19461,28248,1226,1205,956,1760
사천시,112248,57715,54533,20592,22157,1716,823,1006,1331
김해시,539401,277024,262377,27562,131217,2017,11553,1625,7211
밀양시,103762,50572,53190,27872,15725,1058,1260,864,1418
거제시,252889,135648,117241,22625,66750,3941,2708,1401,2577
양산시,344993,173852,171141,14820,107051,1072,2883,1048,2886
창원시,1044215,532363,511852,78507,242745,9876,8892,3958,15030
의창구,251931,128682,123249,21193,46371,2057,2832,956,3273
성산구,225894,117727,108167,5585,65821,536,56,309,5094
마산합포구,178431,89077,89354,21827,38219,1443,1224,1219,3411
마산회원구,197683,99217,98466,14630,42291,2590,2465,773,2248
진해구,190276,97660,92616,15272,50043,3250,2315,701,1004
의령군,26401,12837,13564,11397,1243,280,364,151,472
함안군,67520,35459,32061,15540,11114,536,517,438,1292
창녕군,62703,31746,30957,19505,5512,845,1363,349,1245
고성군,51778,26326,25452,16961,5057,478,998,424,803
남해군,42696,20796,21900,19482,1877,251,376,487,442
하동군,43001,21043,21958,16992,2420,397,312,366,723
산청군,34122,16597,17525,14696,1307,197,138,350,733
함양군,38005,18230,19775,14556,2782,154,451,329,652
거창군,60020,29398,30622,17440,8102,583,586,477,760
합천군,42856,20498,22358,20055,1701,708,428,357,667
제주특별자치도,658282,333019,325263,92719,74199,26946,33840,5364,14407
읍부,147773,76399,71374,39509,4553,7295,4832,1497,3214
면부,35323,18331,16992,11843,449,796,763,396,869
동부,475186,238289,236897,41367,69197,18855,28245,3471,10324
제주시,482932,243656,239276,59279,56760,17641,27893,3647,10896
서귀포시,175350,89363,85987,33440,17439,9305,5947,1717,3511
