"구분별(1)",구분별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
"구분별(1)",구분별(2),도수관,도수관,도수관,도수관,도수관,송수관,송수관,송수관,송수관,송수관,배수관,배수관,배수관,배수관,배수관,급수관,급수관,급수관,급수관,급수관
"구분별(1)",구분별(2),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%),계 (m),경년관 연장 (m),경년관 비율 (%),연장가중 평균연령 (년),비내식성 관로비율 (%)
"대구광역시",동관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
"대구광역시",스테인레스관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1768166,25494,1,21,0
"대구광역시",흄관,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
"대구광역시",기타,0,0,0,0,0,0,0,0,0,0,901825,32967,4,15,0,15952,1201,8,25,0
"인천광역시",총계,78642,7495,10,22,0,297584,22665,8,16,2,4147607,311916,8,15,5,2131860,624881,29,17,0
"인천광역시",에나멜코팅 도복장강관,72321,6542,9,24,0,114138,20342,18,24,0,377792,90914,24,26,0,2164,703,33,25,0
"인천광역시",엑상에폭시 도복장강관,5353,0,0,6,0,81795,364,0,13,0,1599933,4991,0,12,0,342984,2260,1,8,0
"인천광역시",주철관,0,0,0,0,0,5332,1288,24,13,0,184947,161395,87,30,0,1799,1296,72,29,0
"인천광역시",덕타일주철관,15,0,0,17,0,63489,529,1,11,0,1466477,6086,0,16,0,12471,394,3,18,0
"인천광역시",PVC관,0,0,0,0,0,79,50,63,21,0,22916,22784,99,31,0,1721,1489,87,27,0
"인천광역시",내충격수도관,0,0,0,0,0,16984,0,0,14,0,447119,3099,1,8,0,37351,0,0,5,0
"인천광역시",PE관,880,880,100,21,0,274,51,19,11,0,23650,22304,94,28,0,4071,1330,33,13,0
"인천광역시",아연도강관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,930,930,100,31,0
"인천광역시",동관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
"인천광역시",스테인레스관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1660536,616479,37,20,0
"인천광역시",흄관,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
"인천광역시",기타,73,73,100,31,0,15493,41,0,8,0,24773,343,1,15,0,67833,0,0,3,0
"광주광역시",총계,1427,1427,100,31,0,57098,6875,12,17,0,3010813,645438,21,19,9,767097,156175,20,16,2
"광주광역시",에나멜코팅 도복장강관,1269,1269,100,31,0,43226,5690,13,19,0,70538,41714,59,26,0,60,3,5,27,0
"광주광역시",엑상에폭시 도복장강관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광주광역시",주철관,0,0,0,0,0,0,0,0,0,0,265204,234085,88,30,0,116,84,72,25,0
"광주광역시",덕타일주철관,158,158,100,31,0,7116,0,0,10,0,1088550,84029,8,21,0,14411,1304,9,19,0
"광주광역시",PVC관,0,0,0,0,0,0,0,0,0,0,4610,974,21,15,0,359,270,75,23,0
"광주광역시",내충격수도관,0,0,0,0,0,0,0,0,0,0,1351330,243340,18,14,0,584180,107030,18,13,0
"광주광역시",PE관,0,0,0,0,0,210,0,0,5,0,1750,1009,58,22,0,1,0,0,11,0
"광주광역시",아연도강관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11433,11433,100,31,0
"광주광역시",동관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
"광주광역시",스테인레스관,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10923,10050,92,31,0
"광주광역시",흄관,0,0,0,0,0,1185,1185,100,31,0,-,-,-,-,-,-,-,-,-,-
"광주광역시",기타,0,0,0,0,0,5361,0,0,11,0,228831,40287,18,28,0,145614,26001,18,28,0
"대전광역시",총계,23115,0,0,26,0,0,0,0,0,0,2636713,429782,16,17,9,1318718,225646,17,17,0
