"행정구역별(시군구)","성별","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별","연령별",내국인(6세이상),초등학교-계,초등학교-졸업,초등학교-재학,초등학교-중퇴,중학교-계,중학교-졸업,중학교-재학,중학교-중퇴,고등학교-계,고등학교-졸업,고등학교-재학,고등학교-중퇴,대학(4년제 미만)-계,대학-졸업,대학-재학,대학-수료,대학-휴학,대학-중퇴,대학교(4년제 이상)-계,대학교-졸업,대학교-재학,대학교-수료,대학교-휴학,대학교-중퇴,대학원(석사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,대학원(박사과정)-계,대학원-졸업,대학원-재학,대학원-수료,대학원-중퇴,받지않았음     (미취학 포함)
"중구","계","합계",42222,5489,3808,1216,465,5261,4021,912,328,15291,13790,1005,496,4695,3739,244,62,201,449,9358,6663,1468,46,542,639,654,447,106,84,17,189,97,38,47,7,1285
"서구","계","합계",106603,16492,10933,4120,1439,14598,10957,2594,1047,34766,30246,3335,1185,10538,8354,707,79,465,933,23087,15969,4504,166,1249,1199,2531,1702,518,242,69,667,366,126,159,16,3924
"동구","계","합계",84451,14071,10246,2765,1060,12010,9238,2015,757,27642,24337,2523,782,8823,7056,597,111,378,681,16758,12012,2719,57,976,994,1219,838,200,142,39,281,168,40,67,6,3647
"영도구","계","합계",123373,19069,13050,4480,1539,18576,14334,3019,1223,41066,35949,3899,1218,12171,9741,847,100,601,882,25687,14727,7817,92,1661,1390,1741,1108,426,174,33,574,342,120,101,11,4489
"부산진구","계","합계",356140,48056,29689,15157,3210,42686,31120,9236,2330,107367,93478,10973,2916,45866,36560,3934,493,1932,2947,91299,66107,15313,416,4778,4685,8557,6130,1202,1032,193,2216,1367,397,420,32,10093
"동래구","계","합계",249348,29580,15614,12690,1276,29248,19733,8202,1313,75583,64487,9392,1704,30012,24311,1927,306,1410,2058,68741,51972,9611,322,3736,3100,7964,5879,940,942,203,2503,1569,249,664,21,5717
"남구","계","합계",267427,36077,20897,13353,1827,31290,22138,7959,1193,77563,66910,9075,1578,27636,21961,2061,317,1206,2091,77215,52912,17003,388,3682,3230,7436,5179,1169,885,203,2863,1917,400,510,36,7347
"북구","계","합계",283560,35458,19710,13964,1784,34998,24101,9174,1723,94360,81006,11161,2193,36025,27519,3855,510,1895,2246,68140,48822,11342,489,4511,2976,5996,4295,834,654,213,1275,757,210,293,15,7308
"해운대구","계","합계",384835,44823,20527,22078,2218,39161,23416,13740,2005,109542,90417,16362,2763,44255,35522,3080,586,1936,3131,116668,90288,14861,813,5569,5137,15226,11665,1434,1676,451,5767,4133,458,1115,61,9393
"사하구","계","합계",313105,40187,21975,15363,2849,38014,26327,9730,1957,106241,91613,12014,2614,38694,30885,2953,381,1649,2826,73699,50386,14467,567,4480,3799,5489,3816,831,680,162,1381,803,268,310,-,9400
"금정구","계","합계",236264,27625,16466,9740,1419,26600,18586,6816,1198,65949,56256,8167,1526,24445,19556,1896,247,1197,1549,74026,47914,19237,362,3761,2752,8600,5569,1789,1082,160,2923,1845,358,664,56,6096
"강서구","계","합계",78317,10668,5051,5004,613,8843,6396,2106,341,22528,20208,1846,474,11034,9318,520,89,349,758,19890,16408,1837,102,739,804,2225,1491,209,452,73,520,240,85,166,29,2609
"연제구","계","합계",192757,23280,12694,9418,1168,22539,15513,5860,1166,56279,48669,6315,1295,23782,19056,1760,291,957,1718,54592,41126,8168,378,2708,2212,5639,4070,666,756,147,1672,1097,213,313,49,4974
"수영구","계","합계",164385,17091,9462,6535,1094,16495,11481,4091,923,48840,42727,4755,1358,20786,16806,1296,299,943,1442,49081,38230,5681,424,2208,2538,5962,4583,554,660,165,2147,1451,215,450,31,3983
"사상구","계","합계",224039,31152,19880,9608,1664,31535,23892,6142,1501,75460,66403,7123,1934,29160,21988,3336,188,1584,2064,46349,30047,10749,264,3051,2238,3071,2284,453,276,58,673,424,74,154,21,6639
"기장군","계","합계",133407,19492,8876,9928,688,14261,9079,4538,644,39893,33912,4966,1015,18904,15748,867,198,572,1519,31876,25587,2848,167,1435,1839,2818,2088,364,275,91,755,460,135,139,21,5408
"대구광역시","계","합계",2312684,315798,167827,131554,16417,264916,170773,80467,13676,664659,554423,94080,16156,345745,270823,32207,4041,16403,22271,564604,408965,93194,3380,34130,24935,67327,47787,9921,7908,1711,20890,13690,2572,4378,250,68745
