"행정구역별(시군구)","연령별","항목","단위","2015 년",
"읍부","65~69세","내국인(15세이상)-계","","193636",
"읍부","65~69세","내국인-미혼","","2869",
"읍부","65~69세","내국인-배우자있음","","141050",
"읍부","65~69세","내국인-사별","","40433",
"읍부","65~69세","내국인-이혼","","9284",
"읍부","70~74세","내국인(15세이상)-계","","173005",
"읍부","70~74세","내국인-미혼","","1653",
"읍부","70~74세","내국인-배우자있음","","109663",
"읍부","70~74세","내국인-사별","","56895",
"읍부","70~74세","내국인-이혼","","4794",
"읍부","75~79세","내국인(15세이상)-계","","144339",
"읍부","75~79세","내국인-미혼","","825",
"읍부","75~79세","내국인-배우자있음","","75317",
"읍부","75~79세","내국인-사별","","65707",
"읍부","75~79세","내국인-이혼","","2490",
"읍부","80~84세","내국인(15세이상)-계","","89641",
"읍부","80~84세","내국인-미혼","","572",
"읍부","80~84세","내국인-배우자있음","","33469",
"읍부","80~84세","내국인-사별","","54759",
"읍부","80~84세","내국인-이혼","","841",
"읍부","85세이상","내국인(15세이상)-계","","57843",
"읍부","85세이상","내국인-미혼","","587",
"읍부","85세이상","내국인-배우자있음","","11776",
"읍부","85세이상","내국인-사별","","45132",
"읍부","85세이상","내국인-이혼","","348",
"면부","합계","내국인(15세이상)-계","","4113030",
"면부","합계","내국인-미혼","","966168",
"면부","합계","내국인-배우자있음","","2360575",
"면부","합계","내국인-사별","","616725",
"면부","합계","내국인-이혼","","169562",
"면부","15~19세","내국인(15세이상)-계","","217307",
"면부","15~19세","내국인-미혼","","216130",
"면부","15~19세","내국인-배우자있음","","669",
"면부","15~19세","내국인-사별","","451",
"면부","15~19세","내국인-이혼","","57",
"면부","20~24세","내국인(15세이상)-계","","234556",
"면부","20~24세","내국인-미혼","","225215",
"면부","20~24세","내국인-배우자있음","","7832",
"면부","20~24세","내국인-사별","","1191",
"면부","20~24세","내국인-이혼","","318",
"면부","25~29세","내국인(15세이상)-계","","200651",
"면부","25~29세","내국인-미혼","","160806",
"면부","25~29세","내국인-배우자있음","","38190",
"면부","25~29세","내국인-사별","","515",
"면부","25~29세","내국인-이혼","","1140",
"면부","30~34세","내국인(15세이상)-계","","218038",
"면부","30~34세","내국인-미혼","","108257",
"면부","30~34세","내국인-배우자있음","","104989",
"면부","30~34세","내국인-사별","","701",
"면부","30~34세","내국인-이혼","","4091",
"면부","35~39세","내국인(15세이상)-계","","225885",
"면부","35~39세","내국인-미혼","","71786",
"면부","35~39세","내국인-배우자있음","","143594",
"면부","35~39세","내국인-사별","","1186",
"면부","35~39세","내국인-이혼","","9319",
"면부","40~44세","내국인(15세이상)-계","","265405",
"면부","40~44세","내국인-미혼","","62081",
"면부","40~44세","내국인-배우자있음","","181061",
"면부","40~44세","내국인-사별","","2887",
"면부","40~44세","내국인-이혼","","19376",
"면부","45~49세","내국인(15세이상)-계","","313660",
"면부","45~49세","내국인-미혼","","46568",
"면부","45~49세","내국인-배우자있음","","232165",
"면부","45~49세","내국인-사별","","6361",
"면부","45~49세","내국인-이혼","","28566",
"면부","50~54세","내국인(15세이상)-계","","384199",
"면부","50~54세","내국인-미혼","","32804",
"면부","50~54세","내국인-배우자있음","","302116",
"면부","50~54세","내국인-사별","","14627",
"면부","50~54세","내국인-이혼","","34652",
"면부","55~59세","내국인(15세이상)-계","","434915",
"면부","55~59세","내국인-미혼","","20559",
"면부","55~59세","내국인-배우자있음","","352675",
"면부","55~59세","내국인-사별","","30173",
"면부","55~59세","내국인-이혼","","31508",
"면부","60~64세","내국인(15세이상)-계","","361457",
"면부","60~64세","내국인-미혼","","9350",
"면부","60~64세","내국인-배우자있음","","290092",
"면부","60~64세","내국인-사별","","43261",
"면부","60~64세","내국인-이혼","","18754",
"면부","65~69세","내국인(15세이상)-계","","312724",
"면부","65~69세","내국인-미혼","","5055",
"면부","65~69세","내국인-배우자있음","","234542",
